,pairs1,pairs2,residual,Pvalue,correlation
0,000001.XSHE,000661.XSHE,-4.32977361293,0.00229988433646,-0.66957876786
1,000001.XSHE,000709.XSHE,-3.47856204209,0.0343437256393,0.915895659432
2,000001.XSHE,002555.XSHE,-3.3800914708,0.0446103154722,0.762895734097
3,000001.XSHE,002601.XSHE,-3.67561006553,0.0196907866503,0.710995117055
4,000001.XSHE,300015.XSHE,-4.47870319489,0.00132716253049,-0.798238557479
5,000001.XSHE,300122.XSHE,-3.82865253976,0.0124091142333,-0.700387617381
6,000001.XSHE,300144.XSHE,-4.51052233724,0.00117680170539,-0.781251857633
7,000001.XSHE,600000.XSHG,-4.60822830062,0.000808635651564,0.939782208265
8,000001.XSHE,600009.XSHG,-4.45208226148,0.00146652936129,-0.75754770835
9,000001.XSHE,600157.XSHG,-3.40010296753,0.0423390347902,0.755020126512
10,000001.XSHE,600271.XSHG,-3.62588389154,0.0227513449842,-0.666599635059
11,000001.XSHE,600309.XSHG,-3.48103644481,0.0341139003523,-0.62536388335
12,000001.XSHE,600332.XSHG,-3.44897176638,0.0371950315505,-0.61801803405
13,000001.XSHE,600436.XSHG,-3.94352962468,0.00862952576484,-0.771558214712
14,000001.XSHE,600482.XSHG,-4.07034072225,0.00568578427932,0.763182319757
15,000001.XSHE,600583.XSHG,-3.54658209657,0.0284834158692,0.749615519398
16,000001.XSHE,600760.XSHG,-3.51299411766,0.0312607427972,-0.628617526039
17,000001.XSHE,601088.XSHG,-3.82778382039,0.0124425755454,0.892796483155
18,000001.XSHE,601111.XSHG,-3.57145924173,0.0265649346339,0.683111048006
19,000001.XSHE,601138.XSHG,-3.53728876184,0.0292299084226,-0.707625771055
20,000001.XSHE,601166.XSHG,-3.84066061039,0.0119547027281,0.9235455749
21,000001.XSHE,601328.XSHG,-3.34065885352,0.0493821888413,0.930354714698
22,000001.XSHE,601818.XSHG,-3.6947802587,0.01861044202,0.968735687485
23,000001.XSHE,601888.XSHG,-4.09680745395,0.00520060012367,-0.744847665973
24,000001.XSHE,601898.XSHG,-3.5745338663,0.0263357090831,0.88942317907
25,000001.XSHE,601899.XSHG,-3.68120824324,0.0193697855616,0.823349677408
26,000001.XSHE,603288.XSHG,-3.91930578687,0.00932742632903,-0.723722125227
27,000002.XSHE,000415.XSHE,-3.35542015789,0.0475488046564,0.664820712155
28,000002.XSHE,000630.XSHE,-3.6588662591,0.0206787016304,0.907285580114
29,000002.XSHE,000728.XSHE,-3.35274841034,0.0478764103517,0.925881345112
30,000002.XSHE,000776.XSHE,-3.65476934588,0.0209268914823,0.941662323308
31,000002.XSHE,000783.XSHE,-3.623953436,0.022878041678,0.927620247959
32,000002.XSHE,000786.XSHE,-3.34035349245,0.0494207215665,0.751819326729
33,000002.XSHE,002007.XSHE,-3.6931059079,0.0187026924009,-0.759209588286
34,000002.XSHE,002032.XSHE,-4.28091569914,0.00274147457717,-0.691210992845
35,000002.XSHE,002085.XSHE,-3.81209009112,0.0130610090704,0.903948992839
36,000002.XSHE,002271.XSHE,-3.69762176311,0.0184547954819,0.833665525487
37,000002.XSHE,002456.XSHE,-3.35233004062,0.0479278786,0.644036773778
38,000002.XSHE,002460.XSHE,-3.59352632049,0.024957084826,0.60563078794
39,000002.XSHE,002466.XSHE,-3.51463277067,0.031120085087,0.614854980923
40,000002.XSHE,002468.XSHE,-4.15508886821,0.00426233039879,0.812855884171
41,000002.XSHE,002555.XSHE,-4.70359239485,0.00055589378274,0.910720687001
42,000002.XSHE,002558.XSHE,-3.78158055569,0.0143416518258,0.901128907242
43,000002.XSHE,002601.XSHE,-4.18643457803,0.00382428926118,0.795688215701
