,pairs1,pairs2,residual,Pvalue,correlation,pairs1_name,pairs2_name,pairs1_industry,pairs2_industry
0,000001.XSHE,000166.XSHE,-3.75577999695,0.0155098774066,0.950925907636,平安银行,申万宏源,货币金融服务,资本市场服务
1,000001.XSHE,002673.XSHE,-3.46612740568,0.0355185859971,0.951617868687,平安银行,西部证券,货币金融服务,资本市场服务
2,000001.XSHE,300015.XSHE,-3.89050182529,0.0102227882127,-0.856654580439,平安银行,爱尔眼科,货币金融服务,卫生
3,000001.XSHE,300144.XSHE,-3.50505463668,0.0319499290092,-0.847758015984,平安银行,宋城演艺,货币金融服务,文化艺术业
4,000001.XSHE,600050.XSHG,-3.42866867287,0.0392645706412,0.922121671881,平安银行,中国联通,货币金融服务,电信、广播电视和卫星传输服务
5,000001.XSHE,601600.XSHG,-3.89046860957,0.0102238635803,0.92356574172,平安银行,中国铝业,货币金融服务,有色金属冶炼和压延加工业
6,000001.XSHE,601766.XSHG,-3.863080086,0.0111457264372,0.947819376011,平安银行,中国中车,货币金融服务,铁路、船舶、航空航天和其他运输设备制造业
7,000001.XSHE,601818.XSHG,-3.41822089512,0.040366617356,0.850382821989,平安银行,光大银行,货币金融服务,货币金融服务
8,000001.XSHE,601888.XSHG,-3.82464438049,0.0125641689557,-0.843724106676,平安银行,中国国旅,货币金融服务,商务服务业
9,000002.XSHE,000166.XSHE,-3.5302121573,0.0298094897006,0.874193697694,万科A,申万宏源,房地产业,资本市场服务
10,000002.XSHE,000671.XSHE,-4.84073016324,0.000319639498268,0.954261391506,万科A,阳光城,房地产业,房地产业
11,000002.XSHE,000709.XSHE,-3.90141467805,0.0098749043913,0.889320289411,万科A,河钢股份,房地产业,黑色金属冶炼和压延加工业
12,000002.XSHE,000776.XSHE,-3.50693957942,0.0317851486058,0.938290268681,万科A,广发证券,房地产业,资本市场服务
13,000002.XSHE,002241.XSHE,-4.06292478598,0.00582891682643,0.800506530618,万科A,歌尔股份,房地产业,计算机、通信和其他电子设备制造业
14,000002.XSHE,002555.XSHE,-4.5953989781,0.000849905706052,0.829964566197,万科A,三七互娱,房地产业,互联网和相关服务
15,000002.XSHE,002594.XSHE,-4.68006443616,0.000610217315645,0.886283812156,万科A,比亚迪,房地产业,汽车制造业
16,000002.XSHE,600009.XSHG,-3.37847621284,0.0447979776305,-0.77406512588,万科A,上海机场,房地产业,航空运输业
17,000002.XSHE,600015.XSHG,-4.15270880065,0.00429739576242,0.931421479545,万科A,华夏银行,房地产业,货币金融服务
